date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:16:03	287762/287762	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258220b05-46412%22	https://playcanvas.com/static/platform/app-min.js	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/app-min.js	(from https://playcanvas.com/)
19:16:03	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Thu,%2010%20Nov%202016%2003:16:00%20GMT	https://facebook.com/robots.txt		(from http://playcanv.as/p/JtL2iqIH/)
19:16:04	162/162	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Nov%202016%2003:16:01%20GMT	https://playcanvas.com/static/platform/fonts/bootstrap/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/fonts/bootstrap/glyphicons-halflings-regular.eot	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:04	162/162	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Nov%202016%2003:16:01%20GMT	https://playcanvas.com/static/platform/fonts/bootstrap/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/fonts/bootstrap/glyphicons-halflings-regulard41d.eot	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:04	162/162	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Nov%202016%2003:16:01%20GMT	https://playcanvas.com/static/platform/fonts/bootstrap/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/fonts/bootstrap/glyphicons-halflings-regular.woff2	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:05	162/162	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Nov%202016%2003:16:02%20GMT	https://playcanvas.com/static/platform/fonts/bootstrap/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/fonts/bootstrap/glyphicons-halflings-regular.woff	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:05	162/162	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Nov%202016%2003:16:02%20GMT	https://playcanvas.com/static/platform/fonts/bootstrap/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/fonts/bootstrap/glyphicons-halflings-regular.ttf	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:05	162/162	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Nov%202016%2003:16:02%20GMT	https://playcanvas.com/static/platform/fonts/bootstrap/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/fonts/bootstrap/glyphicons-halflings-regular.svg	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:10	39011/39011	---M--	200	added ('OK')	application/octet-stream	etag:%228127311e905e470fb6c37a8a37a3b6a9%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_regular.eot	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_regular.31.delayed	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:10	39011/39011	---M--	200	added ('OK')	application/octet-stream	etag:%228127311e905e470fb6c37a8a37a3b6a9%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_regular.eot?	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_regulard41d.eot	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:12	40709/40709	---M--	200	added ('OK')	application/octet-stream	etag:%229cc1ebf41150e471c9b0121022b72f82%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_regular.woff2	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_regular.woff2	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:13	54888/54888	---M--	200	added ('OK')	application/octet-stream	etag:%22eed9ed8d49b000e2e0deca923fa35583%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_regular.woff	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_regular.woff	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:14	107860/107860	---M--	200	added ('OK')	application/octet-stream	etag:%221614a92f435c854d9aa3f7c785972925%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_regular.ttf	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_regular.ttf	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:14	39057/39057	---M--	200	added ('OK')	application/octet-stream	etag:%22095388575446bb7d86a186233fdc4fe1%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_light.eot	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_light.eot	(from https://playcanvas.com/static/platform/css/styles.css)
19:16:14	39057/39057	---M--	200	added ('OK')	application/octet-stream	etag:%22095388575446bb7d86a186233fdc4fe1%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_light.eot?	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/fonts/proxima_nova_lightd41d.eot	(from https://playcanvas.com/static/platform/css/styles.css)
